activity_segment,users,avg_game_rounds,median_game_rounds,d1_retention_rate,d3_retention_rate,d7_retention_rate,d7_churn_rate,user_share
heavy_player,22812,164.15715412940557,109,0.8560845169209188,0.7583289496756094,0.5499736980536559,0.450026301946344,0.252935502112231
light_player,31995,4.491076730739178,4,0.12486325988435693,0.06982340990779809,0.019346772933270823,0.9806532270667292,0.3547550144696138
medium_player,31388,25.165031222123105,22,0.5270166942780681,0.3621766280107047,0.11427934242385625,0.8857206575761437,0.3480247036778321
not_started,3994,0.0,0,0.021782674011016526,0.03405107661492238,0.007260891337005508,0.9927391086629945,0.0442847797403231
