lifecycle_stage,users,avg_game_rounds,median_game_rounds,d1_retention_rate,d3_retention_rate,d7_retention_rate,user_share
early_churn,14415,49.79146722164412,26,1.0,0.0,0.07318765175164758,0.15983102152147158
mid_term_churn,13529,60.92371941754749,41,1.0,1.0,0.0,0.1500072070873388
newbie_churn,46129,18.814780290056145,7,0.0,0.1138112683994884,0.07750005419584209,0.5114703566953841
not_started,3994,0.0,0,0.021782674011016526,0.03405107661492238,0.007260891337005508,0.0442847797403231
stable_active,12122,187.13388879722817,130,1.0,1.0,1.0,0.13440663495548238
